Link,MLS,Address,Status,Asking,Zillow
,1414010,"8741 Shadowglen Dr, North Charleston, SC 29420",Photo Added,"$179,900 ","http://www.zillow.com/homes/8741 Shadowglen Dr, North Charleston, SC 29420_rb/"
,1414098,"9671 Pebble Creek Blvd, Summerville, SC 29485",Photo Added,"$225,000 ","http://www.zillow.com/homes/9671 Pebble Creek Blvd, Summerville, SC 29485_rb/"
,1414143,"5259 Stonewall Dr, Summerville, SC 29485",New,"$248,000 ","http://www.zillow.com/homes/5259 Stonewall Dr, Summerville, SC 29485_rb/"
,1414184,"4921 Pineridge Rd, Summerville, SC 29485-8959",New,"$249,900 ","http://www.zillow.com/homes/4921 Pineridge Rd, Summerville, SC 29485-8959_rb/"
,1414194,"171 Willowbend Ln, Summerville, SC 29485",New,"$249,950 ","http://www.zillow.com/homes/171 Willowbend Ln, Summerville, SC 29485_rb/"
,1414207,"8375 Coventry Ct, North Charleston, SC 29420-8219",New,"$164,900 ","http://www.zillow.com/homes/8375 Coventry Ct, North Charleston, SC 29420-8219_rb/"
,1414221,"5411 Percival Ln, North Charleston, SC 29420",New,"$203,500 ","http://www.zillow.com/homes/5411 Percival Ln, North Charleston, SC 29420_rb/"
,1414236,"2160 Pierpont Ave, Charleston, SC 29414",New,"$239,900 ","http://www.zillow.com/homes/2160 Pierpont Ave, Charleston, SC 29414_rb/"
,1414249,"772 Brown Dr, Charleston, SC 29412",New,"$209,900 ","http://www.zillow.com/homes/772 Brown Dr, Charleston, SC 29412_rb/"
,1414257,"1728 Pinckney Park Dr, Charleston, SC 29407",New,"$189,000 ","http://www.zillow.com/homes/1728 Pinckney Park Dr, Charleston, SC 29407_rb/"
,1414263,"1214 Carnegie Ave, Charleston, SC 29407-6420",New,"$220,000 ","http://www.zillow.com/homes/1214 Carnegie Ave, Charleston, SC 29407-6420_rb/"
,1414274,"102 Bayberry Run Rd, Summerville, SC 29485",Photo Added,"$164,900 ","http://www.zillow.com/homes/102 Bayberry Run Rd, Summerville, SC 29485_rb/"
,1414289,"140 Marinella Dr., Goose Creek, SC 29445",New,"$199,900 ","http://www.zillow.com/homes/140 Marinella Dr., Goose Creek, SC 29445_rb/"
,1414307,"5509 Elliott Glen Ct, North Charleston, SC 29418",New,"$181,000 ","http://www.zillow.com/homes/5509 Elliott Glen Ct, North Charleston, SC 29418_rb/"
,1414313,"1518 Salisbury St, Charleston, SC 29407-3938",New,"$218,500 ","http://www.zillow.com/homes/1518 Salisbury St, Charleston, SC 29407-3938_rb/"
,1414317,"1454 Emerald Forest Pky, Charleston, SC 29414",New,"$225,000 ","http://www.zillow.com/homes/1454 Emerald Forest Pky, Charleston, SC 29414_rb/"
,1414323,"5141 Ballantine Dr, Summerville, SC 29485",New,"$195,000 ","http://www.zillow.com/homes/5141 Ballantine Dr, Summerville, SC 29485_rb/"
,1414324,"8154 Scottswood Dr, North Charleston, SC 29418-2038",New,"$189,900 ","http://www.zillow.com/homes/8154 Scottswood Dr, North Charleston, SC 29418-2038_rb/"
,1414328,"108 Belleplaine Dr, Goose Creek, SC 29445",New,"$219,900 ","http://www.zillow.com/homes/108 Belleplaine Dr, Goose Creek, SC 29445_rb/"
,1414329,"2331 Vanderbilt Dr, Charleston, SC 29414",New,"$259,000 ","http://www.zillow.com/homes/2331 Vanderbilt Dr, Charleston, SC 29414_rb/"
,1414377,"1759 Pittsford Cir, Charleston, SC 29412",New,"$235,000 ","http://www.zillow.com/homes/1759 Pittsford Cir, Charleston, SC 29412_rb/"
,1414384,"1974 Twickenham Pl, Mount Pleasant, SC 29464",New,"$250,000 ","http://www.zillow.com/homes/1974 Twickenham Pl, Mount Pleasant, SC 29464_rb/"
,1414408,"4 Stratford Rd, Charleston, SC 29407-7246",New,"$250,000 ","http://www.zillow.com/homes/4 Stratford Rd, Charleston, SC 29407-7246_rb/"
,1414411,"3553 Hunters Oak Ln, Johns Island, SC 29455",New,"$209,000 ","http://www.zillow.com/homes/3553 Hunters Oak Ln, Johns Island, SC 29455_rb/"
,1414432,"1129 Davidson, Charleston, SC 29407",New,"$229,000 ","http://www.zillow.com/homes/1129 Davidson, Charleston, SC 29407_rb/"
,1414436,"205 Essex Dr, Summerville, SC 29485",New,"$225,000 ","http://www.zillow.com/homes/205 Essex Dr, Summerville, SC 29485_rb/"
,1414455,"747 Bent Hickory Rd, Charleston, SC 29414",New,"$255,000 ","http://www.zillow.com/homes/747 Bent Hickory Rd, Charleston, SC 29414_rb/"
,1414457,"313 Camelot Dr, Goose Creek, SC 29445",New,"$179,983 ","http://www.zillow.com/homes/313 Camelot Dr, Goose Creek, SC 29445_rb/"
,1414464,"9329 Ayscough Rd, Summerville, SC 29485-8676",New,"$215,000 ","http://www.zillow.com/homes/9329 Ayscough Rd, Summerville, SC 29485-8676_rb/"
,1414475,"1690 Bee Balm Rd, Johns Island, SC 29455",New,"$234,900 ","http://www.zillow.com/homes/1690 Bee Balm Rd, Johns Island, SC 29455_rb/"
,1414499,"112 Botany Bay Blvd, Charleston, SC 29418",New,"$199,000 ","http://www.zillow.com/homes/112 Botany Bay Blvd, Charleston, SC 29418_rb/"
,1414524,"518 Flycatcher Dr, Goose Creek, SC 29445-7341",New,"$192,500 ","http://www.zillow.com/homes/518 Flycatcher Dr, Goose Creek, SC 29445-7341_rb/"
,1414529,"4404 S Rhett Ave, North Charleston, SC 29405",New,"$220,000 ","http://www.zillow.com/homes/4404 S Rhett Ave, North Charleston, SC 29405_rb/"
,1414539,"202 Pointer Dr, Summerville, SC 29485",New,"$175,000 ","http://www.zillow.com/homes/202 Pointer Dr, Summerville, SC 29485_rb/"
,1414571,"1821 Manigault Pl, Charleston, SC 29407",New,"$219,900 ","http://www.zillow.com/homes/1821 Manigault Pl, Charleston, SC 29407_rb/"
,1414574,"202 Red Leaf Blvd., Moncks Corner, SC 29461",New,"$212,990 ","http://www.zillow.com/homes/202 Red Leaf Blvd., Moncks Corner, SC 29461_rb/"
,1414576,"774 Fort Sumter Dr, Charleston, SC 29412",New,"$229,000 ","http://www.zillow.com/homes/774 Fort Sumter Dr, Charleston, SC 29412_rb/"
,1414578,"5406 Dwight Dr, North Charleston, SC 29420-6842",New,"$189,000 ","http://www.zillow.com/homes/5406 Dwight Dr, North Charleston, SC 29420-6842_rb/"
,1414579,"8328 Governors Walk, North Charleston, SC 29418",New,"$249,000 ","http://www.zillow.com/homes/8328 Governors Walk, North Charleston, SC 29418_rb/"
